Metadata_siRNA,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold
NF1 Target 1,0.6958439571259517,1.3559538,0.058746894200642906,1.2310150884975317,True,False
NF1 Target 2,0.6733220715853935,1.5802859,0.05257074162364006,1.2792558962784613,True,False
No Construct,0.5718458351220116,0.73208374,0.18531742691993713,0.7320837384830776,False,False
Scramble,0.7334384827152072,1.9393017,0.04600004479289055,1.3372417454206929,True,True
