,Metadata_siRNA,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold
0,NF1 Target 1,0.4905557892803732,0.22823007,0.6321830749511719,0.19915713543997868,False,False
1,NF1 Target 2,0.48093335264853077,0.19915713,0.6321830749511719,0.19915713543997868,False,False
2,No Construct,0.5876714068237786,0.6920513,0.6321830749511719,0.19915713543997868,False,False
3,Scramble,0.5404196481789183,0.39126605,0.6321830749511719,0.19915713543997868,False,False
